AAA 177	  Independent Studies	  (0-6)	
PSS 315	  Learning, Memory, and Behavior	  (3)	
PSS 320	  Special Topics in Psychological Science	  (3; maximum 6)	
PSS 340	  Internship	  (0-20)	
PSS 350	  Introduction to Counseling Methods	  (3)	
PSS 377	  Independent Studies	  (0-6)	
PSS 401	  Capstone in Psychological Science	  (3; maximum 6) (MPC)	
PSS 420	  Advanced Topics in Psychological Science	  (3)	
PSS 477	  Independent Studies	  (0-6)	
PSY 111	  Introduction to Psychology	  (3) (MPF)	
PSY 112	  Foundational Experiences in Psychology	  (1)	
PSY 112M	  Foundational Experiences for Majors	  (1)	
PSY 159	  Seminar in Neuroscience	  (1)	
PSY 177	  Independent Studies	  (0-6)	
PSY 200	  Selected Topics of Psychological Inquiry	  (1-3; maximum 4)	
PSY 210	  Psychology Across Cultures	  (3) (MPF)	
PSY 211	  Psychological Perspectives on Leadership and Pedagogy in the College Classroom	  (2) (MPT)	
PSY 212	  Practicum in Leadership and Pedagogy	  (3) (MPT)	
PSY 221	  Social Psychology	  (3)	
PSY 231	  Developmental Psychology	  (3) (MPT)	
PSY 241	  Personality	  (3)	
PSY 242	  Abnormal Psychology	  (3) (MPT)	
PSY 251	  Introduction to Biopsychology	  (3)	
PSY 271	  Survey of Perception, Action, and Cognition	  (3) (MPT)	
PSY 277	  Independent Studies	  (0-6)	
PSY 293	  Introduction to Psychological Statistics	  (4)	
PSY 294	  Writing and Research Methods in Psychology	  (4)	
PSY 313	  Advancing in Leadership and Pedagogy	  (1-3) (MPT)	
PSY 320	  Advanced Topics In Psychology	  (1-4; maximum 8)	
PSY 324	  Advanced Social Psychology	  (3)	
PSY 325	  Psychology of Prejudice and Minority Experience	  (3)	
PSY 326	  Psychology of Gender	  (3)	
PSY 327	  Intro to Social Cognition	  (3)	
PSY 331	  Infant Development	  (3)	
PSY 332	  Child Development	  (3) (MPT)	
PSY 333	  Adolescent Development	  (3) (MPT)	
PSY 334	  Adulthood and Aging	  (3) (MPT)	
PSY 340	  Internship	  (0-20)	
PSY 343	  Psychopathology	  (3) (MPT)	
PSY 345	  Childhood Psychopathology and Developmental Disabilities	  (3) (MPT)	
PSY 350	  Advanced Topics in Personality Theory and Research	  (3)	
PSY 351	  Advanced Biopsychology	  (4)	
PSY 352	  Structured Research Experience in Behavioral Neuroscience	  (3)	
PSY 356	  Psychopharmacology	  (3)	
PSY 372	  Learning & Cognition	  (3) (MPT)	
PSY 374	  Psychology of Language and Thought	  (3) (MPT)	
PSY 375	  Laboratory in Perception, Action, and Cognition	  (4)	
PSY 376	  Psychology of Judgment, Decision Making, and Reasoning	  (3)	
PSY 377	  Independent Studies	  (0-6)	
PSY 394	  Editorial and Publishing Processes in Psychology	  (2)	
PSY 400	  Senior Honors in Psychology	  (3)	
PSY 410	  Capstone Seminar in Psychology: The Multiple Determinants of Behavior	  (3) (MPC)	
PSY 420	  Seminar in Social Psychology	  (3; maximum 6)	
PSY 430	  Seminar in Developmental Psychology	  (3; maximum 6)	
PSY 433/PSY 533	  Advanced Developmental Psychology	  (3)	
PSY 440/PSY 540	  Special Topics in Psychopathology	  (3; maximum 9)	
PSY 451/PSY 551	  Cognitive Neuroscience	  (3)	
PSY 456/PSY 556	  Advanced Biological Bases of Behavior	  (3)	
PSY 458	  Capstone Seminar in Neuroscience	  (3) (MPC)	
PSY 470	  Seminar in Cognition	  (3) (MPT)	
PSY 473/PSY 573	  Human Factors/Ergonomics	  (4)	
PSY 474/PSY 574	  Advanced Cognitive Processes	  (3)	
PSY 477	  Independent Studies	  (0-6)	
PSY 480	  Independent Reading for Department Honors	  (1-6; maximum 6)	
PSY 485/PSY 585	  History and Systems of Psychology	  (3)	
PSY 490	  Capstone Experience in Psychology: Research Apprenticeship in Psychology	  (1-3; maximum 6) (MPC)	
PSY 601	  Statistics and Methods I	  (3)	
PSY 602	  Statistics and Methods II	  (3)	
PSY 603	  Proseminar in Psychology I	  (1)	
PSY 604	  Proseminar in Psychology II	  (1)	
PSY 605	  Multicultural Topics  in Clinical Psychology	  (3)	
PSY 620	  Seminar in Experimental Psychology	  (1-3; maximum 9)	
PSY 630	  Seminar in Social Psychology	  (3; maximum 12)	
PSY 640	  Internship	  (0-12; maximum 6)	
PSY 6450	  Clinical Supervision I	  (1)	
PSY 6451	  Clinical Supervision II	  (1)	
PSY 645L	  Consultation	  (1)	
PSY 646	  Psychological Assessment I	  (3)	
PSY 647	  Psychological Assessment II	  (3)	
PSY 648	  Developmental Psychopathology across the Lifespan	  (3)	
PSY 649	  Ethics in Clinical Psychology	  (3)	
PSY 650	  Independent Reading	  (1-5; maximum 20)	
PSY 653	  Adult Evidence-Based Clinical Intervention	  (3)	
PSY 654	  Affective Development	  (3)	
PSY 660	  Child/Adolescent Evidence-Based Clinical Intervention	  (3)	
PSY 670	  Graduate Clinical Psych Traineeship	  (1-4; maximum 12)	
PSY 670A	  Initial Clinical Psychology Traineeship	  (1-4; maximum 12)	
PSY 670B	  Advanced Clinical Psych Traineeship	  (1-4; maximum 12)	
PSY 677	  Independent Studies	  (0-6)	
PSY 680	  Advanced Topics in Research Methods and Analysis for the Behavioral Scientist	  (1-6; maximum 9)	
PSY 685	  Practicum in the Teaching of Psychology	  (3)	
PSY 694	  Advanced Regression Analysis for Psychological Research	  (3)	
PSY 696	  Structural Equation Modeling for the Behavioral Scientist	  (3)	
PSY 697	  Theory and Practice of Narrative Research	  (4)	
PSY 700	  Research for Master's Thesis	  (1-12; maximum 12)	
PSY 710	  Independent Research in Psychology	  (1-16; maximum 30)	
PSY 720	  Advanced Seminar in Experimental Psychology	  (1-4; maximum 18)	
PSY 730	  Advanced Seminar in Social Psychology	  (3-4; maximum 18)	
PSY 740	  Advanced Seminar in Clinical Psychology	  (1-4; maximum 18)	
PSY 750	  Advanced Clinical Techniques	  (1-4; maximum 24)	
PSY 755	  Continuing Clinical Supervision	  (1-3; maximum 3)	
PSY 780	  Seminar in Brain, Cognitive, and Developmental Science	  (1; maximum 10)	
PSY 840	  Internship in Psychology	  (1-6; maximum 12)	
PSY 850	  Research for Doctoral Dissertation	  (1-16; maximum 60)	
REL 101	  Introduction to the Study of Religion	  (3) (MPF, MPT)	
REL 128	  Religion, Science, and Origins	  (3) (MPF)	
REL 133	  Imagining Russia	  (3) (MPF)	
REL 177	  Independent Studies	  (0-6)	
REL 201	  Methods for the Study of Religion	  (3) (MPT)	
REL 203	  Global Religions of India	  (3) (MPF)	
REL 223	  Introduction to Buddhism	  (3)	
REL 226	  Introduction to Islam	  (3)	
REL 233	  History of Christian Thought	  (3)	
REL 241	  Religions of the American Peoples	  (3) (MPT)	
REL 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
REL 275	  Introduction to the Critical Study of Biblical Literature	  (3) (MPF, MPT)	
REL 277	  Independent Studies	  (0-6)	
REL 286	  Global Jewish Civilization	  (3) (MPF)	
REL 312	  Religions of the Old Testament/Hebrew Bible	  (3) (MPT)	
REL 313	  Marriage Across Cultures	  (3)	
REL 314	  Social and Religious History of the Jewish People	  (3) (MPF, MPT)	
REL 316	  The Age of the Reformation	  (3)	
REL 331	  Paul and the Beginnings of Christianity	  (3)	
REL 332	  The Development of Christianity: 100 to 451	  (3)	
REL 333	  Religion, Dress, and Status	  (3) (MPT)	
REL 334	  Women's Religious Experiences in the Ancient Mediterranean World	  (3) (MPT)	
REL 336	  Reconstructing Jesus	  (3)	
REL 337	  Religions of Russia and Eurasia	  (3)	
REL 340	  Internship	  (0-20)	
REL 341	  Protestantism and the Development of American Culture	  (3) (MPT)	
REL 342	  Religious Pluralism in Modern America	  (3) (MPT)	
REL 343	  African-American Religions	  (3)	
REL 345	  Women, Religion and Social Change in America	  (3) (MPT)	
REL 346	  Issues in the Study of Native American Religions	  (3) (MPT)	
REL 355	  Religion and Law	  (3)	
REL 360	  Interdisciplinary Special Topics	  (1-4; maximum 8)	
REL 365	  Arabian Gulf Economies in Social Transition	  (6)	
REL 376	  Global Jihadism	  (3)	
REL 377	  Independent Studies	  (0-6)	
REL 402	  Basic Structures in the History of Religions	  (3) (MPC)	
REL 430	  Early Christian Literature and Religion	  (4; maximum 4)	
REL 470A	  Havighurst Colloquium	  (3)	
REL 477	  Independent Studies	  (0-6)	
REL 480	  Independent Reading for Departmental Honors	  (1-6)	
REL 677	  Independent Studies	  (0-6)	
REL 700	  Research for Master's Thesis	  (1-10)	
RUS 101	  Beginner's Course	  (4)	
RUS 102	  Beginner's Course	  (4)	
RUS 137	  Russian Folklore	  (3) (MPF, MPT)	
RUS 177	  Independent Studies	  (0-6)	
RUS 201	  Intermediate Russian	  (3) (MPT)	
RUS 202	  Intermediate Russian	  (3) (MPT)	
RUS 250	  Topics in Russian Literature in English Translation	  (3) (MPT)	
RUS 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
RUS 255	  Love and Death in Nineteenth-Century Russian Literature	  (3) (MPF, MPT)	
RUS 256	  Empire and Utopia in Russian Literature	  (3) (MPF, MPT)	
RUS 257	  Communism and Catastrophe in Modern Russian Literature	  (3) (MPF, MPT)	
RUS 263	  Soviet & Post-Soviet Russian Cinema	  (3) (MPT)	
RUS 272	  Cinemas and Cultures of Central and Eastern Europe	  (3)	
RUS 277	  Independent Studies	  (0-6)	
RUS 301	  Advanced Russian	  (3) (MPT)	
RUS 302	  Advanced Russian	  (3) (MPT)	
RUS 311	  Reading in Russian	  (3)	
RUS 325	  Russian Reception of Classical Culture	  (3)	
RUS 340	  Internship	  (0-20)	
RUS 377	  Independent Studies	  (0-6)	
RUS 411	  Advanced Conversation, Composition and Reading	  (3)	
RUS 436/RUS 536	  Havighurst Colloquium	  (3)	
RUS 450	  Topics in Russian Culture	  (3; maximum 9)	
RUS 477	  Independent Studies	  (0-6)	
RUS 480	  Departmental Honors	  (1-6; maximum 6)	
RUS 677	  Independent Studies	  (0-6)	
SJS 101	  Elements of Social Justice	  (1)	
SJS 159	  Creating Global Peace	  (3) (MPF)	
SJS 165	  Introduction to Social Justice Studies	  (3) (MPF)	
SJS 177	  Independent Studies	  (0-6)	
SJS 215	  EMPOWER I: Educational and Economic Justice and Service-Learning	  (3)	
SJS 216	  EMPOWER II: The Intersections of Race, Class, and Education	  (3)	
SJS 265	  Critical Inquiry: Penny Lecture Series	  (2)	
SJS 277	  Independent Studies	  (0-6)	
SJS 303	  Life After Graduation: Careers in Sociology/Social Justice	  (3)	
SJS 323	  Social Justice and Change	  (3)	
SJS 350	  Topics in Justice Studies	  (3; maximum 6)	
SJS 377	  Independent Studies	  (0-6)	
SJS 419/SJS 519	  Environment, Society & Justice	  (3)	
SJS 470	  Social/Political Activism	  (3) (MPC)	
SJS 477	  Independent Studies	  (0-6)	
SJS 487	  Globalization, Social Justice and Human Rights	  (3) (MPF)	
SOC 127	  Environmental/Justice Films	  (1; maximum 4)	
SOC 151	  Social Relations	  (4) (MPF)	
SOC 153	  Sociology in a Global Context	  (3) (MPF)	
SOC 160	  Selected Topics in Sociological Analysis	  (2; maximum 4)	
SOC 165	  Introduction to Social Justice Studies	  (3) (MPF)	
SOC 177	  Independent Studies	  (0-6)	
SOC 201	  Social Problems	  (4) (MPT)	
SOC 202	  Social Deviance	  (3) (MPT)	
SOC 203	  Sociology of Gender	  (3) (MPT)	
SOC 208	  The Rise of Industrialism in East Asia	  (3) (MPF)	
SOC 221	  Sexualities	  (3)	
SOC 225	  Work and Occupational Justice	  (3)	
SOC 257	  Population	  (3) (MPT)	
SOC 258	  Self and Society	  (3)	
SOC 260A	  Internship: An Introduction to Applied Sociology and Human Services	  (1-4)	
SOC 262	  Research Methods	  (3) (MPT)	
SOC 265	  Penny Lecture Series	  (2)	
SOC 272	  Introduction to Disability Studies	  (3) (MPF, MPT)	
SOC 277	  Independent Studies	  (0-6)	
SOC 279	  African Americans in Sport	  (3) (MPF)	
SOC 303	  Life After Graduation: Careers in Sociology/Social Justice	  (3)	
SOC 305	  Introduction to the Sociology of Globalization	  (3)	
SOC 318	  Social Forces and Aging	  (3) (MPT)	
SOC 323	  Social Justice and Change	  (3)	
SOC 337L	  Directed Research in European Studies	  (3)	
SOC 340	  Internship	  (0-20)	
SOC 348	  Race and Ethnic Relations	  (3) (MPT)	
SOC 350	  Topics in Justice Studies	  (3; maximum 6)	
SOC 352	  Criminology	  (3) (MPT)	
SOC 357	  Medical Sociology	  (3)	
SOC 358	  The Sociology of Mental Disorders	  (3)	
SOC 362	  Family Poverty	  (3)	
SOC 363	  Sociology of Families	  (3)	
SOC 372	  Social Stratification	  (3) (MPT)	
SOC 375	  (Dis)Ability Allies: To be or not to be? Developing Identity and Pride from Practice	  (3)	
SOC 377	  Independent Studies	  (0-6)	
SOC 409	  Systems of Justice	  (3) (MPT)	
SOC 410/SOC 510	  Topics in Criminology	  (3) (MPT)	
SOC 412	  Sociology of Law	  (3)	
SOC 413	  Juvenile Delinquency	  (3) (MPT)	
SOC 417	  Economy and Society	  (3) (MPT)	
SOC 421/SOC 521	  Critical Race and Post-Colonial Studies	  (3) (MPF)	
SOC 435	  Death Studies	  (3) (MPT)	
SOC 440	  Internship in Sociology or Social Justice Studies	  (1-16; maximum 16)	
SOC 440A	  Internship in Applied Sociology	  (1-16)	
SOC 440C	  Internship in Criminology	  (1-16)	
SOC 451	  Family Violence	  (3) (MPC)	
SOC 454/SOC 554	  Formal Organization	  (3)	
SOC 459	  Sociology Capstone	  (3) (MPC)	
SOC 462	  Applied Sociological Research	  (3) (MPC)	
SOC 463	  Gender and Aging	  (3) (MPT)	
SOC 470	  Social/Political Activism	  (3) (MPC)	
SOC 477	  Independent Studies	  (0-6)	
SOC 480	  Independent Reading for Departmental Honors	  (1-6)	
SOC 482	  Sociological Theory	  (4)	
SOC 487	  Globalization, Social Justice and Human Rights	  (3) (MPF)	
SOC 490/SOC 590	  Current Issues in Sociology	  (1-3; maximum 6)	
SOC 677	  Independent Studies	  (0-6)	
SPA 101	  Beginning ASL I	  (4)	
SPA 102	  Beginning ASL II	  (4)	
SPA 127	  Introduction to Communication Disorders	  (3) (MPF, MPT)	
SPA 177	  Independent Studies	  (0-6)	
SPA 201	  Intermediate ASL I	  (3)	
SPA 202	  Intermediate American Sign Language II	  (3)	
SPA 210	  Topics in Speech Pathology and Audiology	  (3; maximum 6)	
SPA 222	  Anatomy and Physiology Speech Production	  (3)	
SPA 223	  Theories of Language Development	  (3) (MPF)	
SPA 225	  Foundations of Neurology	  (3)	
SPA 233	  Perspectives of the Human Face	  (3) (MPF, MPT)	
SPA 277	  Independent Studies	  (0-6)	
SPA 293	  Sophomore Seminar in Speech Pathology and Audiology	  (1)	
SPA 312	  Deaf Culture: Global, National and Local Issues	  (3) (MPF)	
SPA 316	  Introduction to Audiology	  (3)	
SPA 326	  Aural Rehabilitation	  (3)	
SPA 334	  Clinical Phonetics and Articulation Disorders	  (3)	
SPA 340	  Internship	  (0-20)	
SPA 377	  Independent Studies	  (0-6)	
SPA 393	  Junior Clinical Experience	  (1)	
SPA 402	  Counseling Strategies for Speech Pathologists and Audiologists	  (3)	
SPA 413	  Senior Seminar in Communication Disorders	  (3) (MPC)	
SPA 416/SPA 516	  Research Design	  (3)	
SPA 426/SPA 526	  Language Disorders	  (3)	
SPA 427/SPA 527	  Alternative Communication Systems for the Severely Handicapped	  (3) (MPT)	
SPA 435/SPA 535	  Speech and Hearing Science	  (3)	
SPA 477	  Independent Studies	  (0-6)	
SPA 493	  Senior Seminar in Speech Pathology and Audiology	  (2)	
SPA 605	  Speech, Language, Pathology & Audiology in School Setting	  (3-15; maximum 15)	
SPA 614	  Evidence Based Practice in Communication Sciences and Disorders	  (3)	
SPA 620	  Advanced Clinical Practice	  (1-8; maximum 16)	
SPA 621	  Neurogenic Language Disorders	  (3)	
SPA 622	  Voice and Resonance Disorders	  (3)	
SPA 625	  Best Practices for the School-Based Speech-Language Pathologist	  (3)	
SPA 626	  Organization and Administration of Clinical Programs for Communication Disorders	  (1)	
SPA 627	  Pediatric Language and Autism Spectrum Disorders	  (3)	
SPA 629	  Organic Speech Disorders: Motor Speech Disorders	  (2)	
SPA 631	  School Age Language and Literacy	  (3)	
SPA 633	  Phonological and Articulation Disorders	  (3)	
SPA 635	  Special Topics in Medical Speech-Language Pathology	  (2)	
SPA 641	  Advanced Studies in Fluency Therapy	  (2)	
SPA 651	  Dysphagia across the Lifespan	  (3)	
SPA 653	  Normal Deglutition Across the Lifespan	  (1)	
SPA 660	  Independent Project	  (1-6; maximum 8)	
SPA 662	  Research in Speech Pathology and Audiology	  (3)	
SPA 671	  Neurogenic Cognitive Disorders	  (3)	
SPA 672	  Fundamental Neuroscience for Speech-Language Pathologists	  (1)	
SPA 677	  Independent Studies	  (0-6)	
SPA 700	  Research for Master's Thesis	  (1-12; maximum 12)	
SPA 711	  Research In Speech Pathology	  (1-12)	
SPA 720	  Seminar in Speech Disorders	  (1-2; maximum 8)	
SPA 750	  Professional Field Experience	  (1-10; maximum 20)	
SPN 101	  Beginner's Course	  (4)	
SPN 102	  Beginner's Course	  (4)	
SPN 104	  Beginner's Course Spanish Lab	  (1; maximum 2)	
SPN 111	  Intensive Basic Spanish	  (4)	
SPN 177	  Independent Studies	  (0-6)	
SPN 201	  Second Year Spanish	  (3)	
SPN 202	  Second Year Spanish	  (3)	
SPN 203	  Spanish for Health Care Professions	  (3)	
SPN 204	  Second Year Spanish Lab	  (1; maximum 2)	
SPN 211	  Intensive Intermediate Spanish	  (3)	
SPN 241	  Intermediate Conversational Spanish	  (2)	
SPN 242	  Intermediate Conversational Spanish	  (2)	
SPN 277	  Independent Studies	  (0-6)	
SPN 311	  Grammar Review and Introductory Composition	  (3)	
SPN 311L	  Individualized Instruction Lab	  (1)	
SPN 312	  Introduction to Spanish Language/Linguistics	  (3) (MPT)	
SPN 315	  Intro to Hispanic Literatures	  (3) (MPF, MPT)	
SPN 316	  Intermediate Spanish Composition	  (3)	
SPN 317	  Business Spanish	  (3)	
SPN 318	  Introduction to Hispanic Film	  (3)	
SPN 319	  Exploring Spain Today (Cultural trip)	  (1)	
SPN 321	  The Way of St	 James.  (2)	
SPN 322	  Issues Affecting Hispanic Health Care in the U	S..  (3)	
SPN 331	  Spanish for Community Work	  (3)	
SPN 332	  Latin American Popular Culture	  (3)	
SPN 340	  Internship	  (0-20)	
SPN 341	  Intermediate Conversational Spanish	  (3)	
SPN 342	  Advanced Conversational Spanish	  (3)	
SPN 351	  Cultural History of Spain I	  (3) (MPT)	
SPN 352	  Cultural History of Spain II	  (3) (MPT)	
SPN 361	  Spanish American Cultural History I	  (3) (MPT)	
SPN 362	  Spanish American Cultural History II	  (3) (MPT)	
SPN 370	  Topics in Hispanic Studies	  (3; maximum 9)	
SPN 377	  Independent Studies	  (0-6)	
SPN 381	  Spanish Language and Hispanic Culture I	  (3) (MPT)	
SPN 382	  Spanish Language and Hispanic Culture II	  (3) (MPT)	
SPN 392	  Language and the Latin American Diaspora	  (3) (MPF)	
SPN 420	  Selected Topics in Literature and Culture: Spain	  (3)	
SPN 430	  Selected Topics in Literature and Culture: Spanish America	  (3)	
SPN 440	  Selected Topics in Spanish Language and Hispanic Culture	  (3)	
SPN 450/SPN 550	  Topics in Hispanic Culture and Language	  (1-4; maximum 9)	
SPN 451/SPN 551	  Spanish Cultural Studies	  (3)	
SPN 454/SPN 554	  Don Quixote	  (3)	
SPN 461/SPN 561	  Spanish American Film, Visual, and Digital Studies	  (3)	
